
-----
mkdir timedrun fake

Running with these driver parameters:
  solver ID    = 1

  Laplacian_27pt:
    (Nx, Ny, Nz) = (256, 256, 1024)
    (Px, Py, Pz) = (1, 1, 1)

=============================================
Generate Matrix:
=============================================
Spatial Operator:
  wall clock time = 13.001387 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 190.530668 seconds
  cpu MFLOPS      = 0.000000

  RHS vector has unit components
  Initial guess is 0
=============================================
IJ Vector Setup:
=============================================
RHS and Initial Guess:
  wall clock time = 0.558891 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 4.128650 seconds
  cpu MFLOPS      = 0.000000

=============================================
Problem 1: AMG Setup Time:
=============================================
PCG Setup:
  wall clock time = 40.743209 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 465.601387 seconds
  cpu MFLOPS      = 0.000000


FOM_Setup: nnz_AP / Setup Phase Time: 4.830842e+07

=============================================
Problem 1: AMG-PCG Solve Time:
=============================================
PCG Solve:
  wall clock time = 63.931265 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 1251.129450 seconds
  cpu MFLOPS      = 0.000000


Iterations = 22
Final Relative Residual Norm = 9.755986e-09


FOM_Solve: nnz_AP * Iterations / Solve Phase Time: 6.773100e+08



Figure of Merit (FOM_1): 5.200596e+08


============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.35053	0.00000004926685	30	30
0.27112	0.00000003397889	30	30
0.14984	0.00000000523587	30	30
0.14865	0.00000000524592	30	30
0.14885	0.00000000535033	30	30
0.14900	0.00000000528721	30	30
0.14854	0.00000000527778	30	30
0.14905	0.00000000535688	30	30
0.14892	0.00000000542119	30	30
0.14875	0.00000000524406	30	30
0.14868	0.00000000529885	30	30
0.14886	0.00000000532151	30	30
0.14874	0.00000000530817	30	30
0.14869	0.00000000546039	30	30
0.14880	0.00000000530093	30	30
0.14905	0.00000000532072	30	30
0.14864	0.00000000537589	30	30
0.14882	0.00000000536937	30	30
0.14905	0.00000000546745	30	30
0.14019	0.00000000526381	30	30
0.17843	0.00000004279043	30	30
0.21089	0.00000005551643	30	30
0.15451	0.00000003757609	30	30
0.34243	0.00000004701181	30	30
0.34918	0.00000004762527	30	30
0.26527	0.00000003467545	30	30
0.14828	0.00000000527530	30	30
0.14531	0.00000000514304	30	30
0.14555	0.00000000526788	30	30
0.14545	0.00000000517675	30	30
0.14505	0.00000000517164	30	30
0.14571	0.00000000522358	30	30
0.14538	0.00000000530704	30	30
0.14562	0.00000000514484	30	30
0.14513	0.00000000520147	30	30
0.14549	0.00000000519100	30	30
0.14552	0.00000000533197	30	30
0.14517	0.00000000524974	30	30
0.14559	0.00000000518118	30	30
0.14539	0.00000000520399	30	30
0.14505	0.00000000526258	30	30
0.14565	0.00000000538761	30	30
0.14538	0.00000000528188	30	30
0.14505	0.00000000519962	30	30
0.13610	0.00000000551206	30	30
0.27001	0.00000001566148	30	30
0.16564	0.00000000666911	30	30
0.14538	0.00000000531122	30	30
0.14552	0.00000000518865	30	30
0.14514	0.00000000519446	30	30
0.14573	0.00000000521852	30	30
