
-----
mkdir timedrun fake

Running with these driver parameters:
  solver ID    = 1

  Laplacian_27pt:
    (Nx, Ny, Nz) = (256, 256, 1024)
    (Px, Py, Pz) = (1, 1, 1)

=============================================
Generate Matrix:
=============================================
Spatial Operator:
  wall clock time = 12.678934 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 181.045292 seconds
  cpu MFLOPS      = 0.000000

  RHS vector has unit components
  Initial guess is 0
=============================================
IJ Vector Setup:
=============================================
RHS and Initial Guess:
  wall clock time = 0.552634 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 3.958747 seconds
  cpu MFLOPS      = 0.000000

=============================================
Problem 1: AMG Setup Time:
=============================================
PCG Setup:
  wall clock time = 39.948465 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 454.767533 seconds
  cpu MFLOPS      = 0.000000


FOM_Setup: nnz_AP / Setup Phase Time: 4.926948e+07

=============================================
Problem 1: AMG-PCG Solve Time:
=============================================
PCG Solve:
  wall clock time = 103.864045 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 2048.547251 seconds
  cpu MFLOPS      = 0.000000


Iterations = 22
Final Relative Residual Norm = 9.755986e-09


FOM_Solve: nnz_AP * Iterations / Solve Phase Time: 4.169035e+08



Figure of Merit (FOM_1): 3.249950e+08


============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.14885	0.00000000509328	30	30
0.14869	0.00000000520494	30	30
0.14884	0.00000000516582	30	30
0.14892	0.00000000521588	30	30
0.14859	0.00000000514898	30	30
0.14900	0.00000000523522	30	30
0.14870	0.00000000526192	30	30
0.14897	0.00000000522665	30	30
0.14877	0.00000000542912	30	30
0.14882	0.00000000526707	30	30
0.14949	0.00000000523868	30	30
0.14854	0.00000000508268	30	30
0.14850	0.00000000505571	30	30
0.14887	0.00000000509000	30	30
0.14892	0.00000000519798	30	30
0.21111	0.00000005197724	30	30
0.14524	0.00000000499549	30	30
0.14525	0.00000000503703	30	30
0.14562	0.00000000499097	30	30
0.14521	0.00000000523412	30	30
0.14535	0.00000000509000	30	30
0.14558	0.00000000509535	30	30
0.14546	0.00000000524842	30	30
0.14567	0.00000000515276	30	30
0.14530	0.00000000519088	30	30
0.14553	0.00000000516321	30	30
0.14554	0.00000000514869	30	30
0.14512	0.00000000498258	30	30
0.14572	0.00000000515138	30	30
0.14532	0.00000000493728	30	30
0.14519	0.00000000501772	30	30
0.14563	0.00000000520660	30	30
0.14534	0.00000000500347	30	30
0.14498	0.00000000573960	12	12
0.14595	0.00000000569186	12	12
0.14517	0.00000000563162	12	12
0.14567	0.00000000580232	12	12
0.14525	0.00000000576318	12	12
0.14587	0.00000000582164	12	12
0.14553	0.00000000589298	12	12
0.14556	0.00000000571723	12	12
0.14590	0.00000000577453	12	12
0.14512	0.00000000593464	12	12
0.14595	0.00000000595585	12	12
0.14501	0.00000000579558	12	12
0.14583	0.00000000584487	12	12
0.14516	0.00000000602307	12	12
0.14610	0.00000000587760	12	12
0.14540	0.00000000580361	12	12
0.14586	0.00000000595363	12	12
0.14588	0.00000000554303	12	12
0.14506	0.00000000564693	12	12
0.14614	0.00000000583276	12	12
0.14509	0.00000000558599	12	12
0.14571	0.00000000550046	12	12
0.14532	0.00000000579977	12	12
0.14601	0.00000000580722	12	12
0.14535	0.00000000571595	12	12
0.14510	0.00000000575893	12	12
0.15168	0.00000000582877	12	12
0.15141	0.00000000584652	12	12
0.15158	0.00000000597829	12	12
0.15133	0.00000000575478	12	12
0.15180	0.00000000595935	12	12
0.15116	0.00000000603807	12	12
0.15189	0.00000000591475	12	12
0.15144	0.00000000611160	12	12
0.15139	0.00000000594776	12	12
0.15184	0.00000000598074	12	12
0.15124	0.00000000613522	12	12
0.15173	0.00000000603824	12	12
0.15190	0.00000000616725	12	12
0.15110	0.00000000604869	12	12
0.15179	0.00000000623092	12	12
0.15130	0.00000000587173	12	12
0.15178	0.00000000595844	12	12
0.15166	0.00000000595079	12	12
0.15111	0.00000000565808	12	12
0.15175	0.00000000603634	12	12
0.15169	0.00000000583554	12	12
0.12762	0.00000000539007	12	12
0.12517	0.00000000573716	12	12
0.14566	0.00000000577349	12	12
0.14567	0.00000000559152	12	12
0.14526	0.00000000564051	12	12
0.14591	0.00000000582069	12	12
0.14518	0.00000000547443	12	12
0.14763	0.00000000589670	12	12
0.14633	0.00000000588170	12	12
0.14680	0.00000000587549	12	12
0.14628	0.00000000591056	12	12
0.14634	0.00000000581560	12	12
0.14736	0.00000000585925	12	12
0.14656	0.00000000603683	12	12
0.14711	0.00000000593097	12	12
0.14615	0.00000000588231	12	12
0.14738	0.00000000607508	12	12
0.14618	0.00000000594971	12	12
