
-----
mkdir timedrun fake

Running with these driver parameters:
  solver ID    = 1

  Laplacian_27pt:
    (Nx, Ny, Nz) = (256, 256, 1024)
    (Px, Py, Pz) = (1, 1, 1)

=============================================
Generate Matrix:
=============================================
Spatial Operator:
  wall clock time = 12.955633 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 184.701235 seconds
  cpu MFLOPS      = 0.000000

  RHS vector has unit components
  Initial guess is 0
=============================================
IJ Vector Setup:
=============================================
RHS and Initial Guess:
  wall clock time = 0.556578 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 3.987198 seconds
  cpu MFLOPS      = 0.000000

=============================================
Problem 1: AMG Setup Time:
=============================================
PCG Setup:
  wall clock time = 40.635834 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 453.864050 seconds
  cpu MFLOPS      = 0.000000


FOM_Setup: nnz_AP / Setup Phase Time: 4.843607e+07

=============================================
Problem 1: AMG-PCG Solve Time:
=============================================
PCG Solve:
  wall clock time = 68.142385 seconds
  wall MFLOPS     = 0.000000
  cpu clock time  = 1340.819067 seconds
  cpu MFLOPS      = 0.000000


Iterations = 22
Final Relative Residual Norm = 9.755986e-09


FOM_Solve: nnz_AP * Iterations / Solve Phase Time: 6.354530e+08



Figure of Merit (FOM_1): 4.886988e+08


============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.14898	0.00000000511623	30	30
0.14929	0.00000000519417	30	30
0.14839	0.00000000524517	30	30
0.14886	0.00000000508373	30	30
0.14880	0.00000000515138	30	30
0.14892	0.00000000512378	30	30
0.14860	0.00000000503517	30	30
0.14887	0.00000000510694	30	30
0.14885	0.00000000528967	30	30
0.14860	0.00000000528520	30	30
0.14903	0.00000000531826	30	30
0.14880	0.00000000538594	30	30
0.14919	0.00000000522599	30	30
0.14840	0.00000000535608	30	30
0.14899	0.00000000527496	30	30
0.14875	0.00000000516028	30	30
0.21570	0.00000005296424	30	30
0.14557	0.00000000503453	30	30
0.14534	0.00000000497161	30	30
0.14519	0.00000000499960	30	30
0.14574	0.00000000512947	30	30
0.14516	0.00000000495093	30	30
0.14583	0.00000000509538	30	30
0.14539	0.00000000508174	30	30
0.14534	0.00000000491279	30	30
0.14527	0.00000000500450	30	30
0.14523	0.00000000517746	30	30
0.14569	0.00000000517886	30	30
0.14534	0.00000000518682	30	30
0.14552	0.00000000514049	30	30
0.14547	0.00000000526786	30	30
0.14546	0.00000000515078	30	30
0.14544	0.00000000526551	30	30
0.14537	0.00000000507306	30	30
0.14557	0.00000000515239	30	30
0.14662	0.00000000427061	30	30
0.14554	0.00000000446827	30	30
0.14546	0.00000000432875	30	30
0.14552	0.00000000437311	30	30
0.14528	0.00000000431997	30	30
0.14552	0.00000000439790	30	30
0.14546	0.00000000417289	30	30
0.14513	0.00000000451256	30	30
0.14554	0.00000000437728	30	30
0.14594	0.00000000456467	30	30
0.14506	0.00000000447399	30	30
0.14530	0.00000000447139	30	30
0.14535	0.00000000441427	30	30
0.14557	0.00000000445422	30	30
0.14557	0.00000000444366	30	30
0.14538	0.00000000439586	30	30
0.14448	0.00000000426706	30	30
0.14703	0.00000000484537	30	30
0.15130	0.00000000450047	30	30
0.15110	0.00000000449195	30	30
0.15164	0.00000000450740	30	30
0.15096	0.00000000447587	30	30
0.15174	0.00000000460416	30	30
0.15145	0.00000000452315	30	30
0.15113	0.00000000431435	30	30
0.15112	0.00000000467241	30	30
0.15114	0.00000000454514	30	30
0.15177	0.00000000474224	30	30
0.15177	0.00000000461381	30	30
0.15105	0.00000000463945	30	30
0.15133	0.00000000455930	30	30
0.15139	0.00000000462316	30	30
0.15149	0.00000000471434	30	30
0.15126	0.00000000451447	30	30
0.10497	0.00000000473892	30	30
0.09245	0.00000000867541	30	30
0.12561	0.00000000452623	30	30
0.12509	0.00000000526885	30	30
0.14546	0.00000000421629	30	30
0.14542	0.00000000431235	30	30
0.14531	0.00000000434953	30	30
0.14544	0.00000000427587	30	30
0.14531	0.00000000436719	30	30
0.14552	0.00000000431781	30	30
0.14554	0.00000000426916	30	30
0.14509	0.00000000426899	30	30
0.14568	0.00000000447678	30	30
0.14535	0.00000000434234	30	30
0.14529	0.00000000455770	30	30
0.14561	0.00000000432872	30	30
0.14520	0.00000000451780	30	30
0.14561	0.00000000432019	30	30
0.14545	0.00000000452304	30	30
0.14521	0.00000000429495	30	30
0.14579	0.00000000444924	30	30
0.14564	0.00000000433358	30	30
0.14522	0.00000000432120	30	30
0.14556	0.00000000436535	30	30
0.14559	0.00000000430040	30	30
0.14513	0.00000000425019	30	30
0.14572	0.00000000444583	30	30
0.14542	0.00000000424540	30	30
0.14520	0.00000000418229	30	30
0.14547	0.00000000441249	30	30
0.14534	0.00000000446026	30	30
0.14554	0.00000000446230	30	30
0.14558	0.00000000440294	30	30
0.14519	0.00000000442286	30	30
0.14566	0.00000000441199	30	30
0.14516	0.00000000438881	30	30
0.14564	0.00000000440377	30	30
0.14545	0.00000000434862	30	30
0.14897	0.00000000457038	30	30
0.14931	0.00000000452810	30	30
0.14934	0.00000000454501	30	30
0.14880	0.00000000452602	30	30
0.14928	0.00000000441316	30	30
0.14924	0.00000000454810	30	30
0.14934	0.00000000451009	30	30
0.14909	0.00000000442503	30	30
0.14914	0.00000000439034	30	30
0.14897	0.00000000460361	30	30
0.14920	0.00000000461068	30	30
0.14921	0.00000000460908	30	30
0.14908	0.00000000446430	30	30
0.14924	0.00000000467259	30	30
0.14893	0.00000000447781	30	30
0.14943	0.00000000456729	30	30
0.14903	0.00000000452371	30	30
0.14245	0.00000000900843	30	30
0.14561	0.00000000431327	30	30
0.14529	0.00000000428507	30	30
0.14551	0.00000000431655	30	30
0.14522	0.00000000426237	30	30
0.14555	0.00000000419856	30	30
