
-----
mkdir timedrun fake

SOR: size=32768, num_iterations=200
SOR started..
SOR ended..

============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.03145	0.00000002317792	30	30
0.03169	0.00000002373535	30	30
0.03196	0.00000002264559	30	30
0.03172	0.00000002370058	30	30
0.03219	0.00000002223764	30	30
0.03230	0.00000002279624	30	30
0.03244	0.00000002262528	30	30
0.03151	0.00000002168741	30	30
0.03217	0.00000002186820	30	30
0.03241	0.00000002313019	30	30
0.03260	0.00000002317262	30	30
0.03246	0.00000002198539	30	30
0.03280	0.00000002285741	30	30
0.03273	0.00000002288364	30	30
0.03307	0.00000002296112	30	30
0.03286	0.00000002157430	30	30
0.03324	0.00000002299646	30	30
0.03354	0.00000002309621	30	30
0.03336	0.00000002165140	30	30
0.03253	0.00000002220389	30	30
0.03269	0.00000002238040	30	30
0.03375	0.00000002308019	30	30
0.03334	0.00000002204348	30	30
0.03322	0.00000002301007	30	30
0.03325	0.00000002271163	30	30
0.03302	0.00000002267295	30	30
0.03314	0.00000002187087	30	30
0.03334	0.00000002289363	30	30
0.03327	0.00000002295845	30	30
0.03385	0.00000002295770	30	30
0.03388	0.00000002203758	30	30
0.03369	0.00000002303800	30	30
0.03316	0.00000002274125	30	30
0.03351	0.00000002299895	30	30
0.03372	0.00000002194205	30	30
0.03425	0.00000002325200	30	30
0.03313	0.00000002269822	30	30
0.03325	0.00000002289136	30	30
0.03391	0.00000002213875	30	30
0.03381	0.00000002298382	30	30
0.03381	0.00000002309158	30	30
0.03321	0.00000002265745	30	30
0.03380	0.00000002231652	30	30
0.03369	0.00000002237258	30	30
0.03409	0.00000002315139	30	30
0.03382	0.00000002305535	30	30
0.03369	0.00000002211105	30	30
0.03269	0.00000002234620	30	30
0.03357	0.00000002298945	30	30
0.03365	0.00000002303763	30	30
0.03343	0.00000002174109	30	30
0.03358	0.00000002301942	30	30
0.03379	0.00000002303134	30	30
0.03269	0.00000002262500	30	30
0.03399	0.00000002232356	30	30
0.03413	0.00000002297641	30	30
0.03370	0.00000002299036	30	30
0.03302	0.00000002141759	30	30
0.03342	0.00000002311118	30	30
0.03426	0.00000002313999	30	30
0.03287	0.00000002235910	30	30
0.03396	0.00000002291091	30	30
0.03392	0.00000002202298	30	30
0.03243	0.00000002235120	30	30
0.03343	0.00000002278936	30	30
0.03371	0.00000002280470	30	30
0.03300	0.00000002269154	30	30
0.03323	0.00000002227629	30	30
0.03401	0.00000002269786	30	30
0.03351	0.00000002329473	30	30
0.03392	0.00000002292467	30	30
0.03337	0.00000002293265	30	30
0.03152	0.00000002204992	30	30
0.03315	0.00000002197308	30	30
0.03262	0.00000002233156	30	30
0.03398	0.00000002197218	30	30
0.02454	0.00000000425594	30	30
0.02448	0.00000000432708	30	30
